Creating train lmdb...
I0418 11:28:18.756780 26014 convert_imageset.cpp:83] Shuffling data
I0418 11:28:19.363435 26014 convert_imageset.cpp:86] A total of 1281167 images.
I0418 11:28:19.363869 26014 db_lmdb.cpp:38] Opened lmdb examples/imagenet/ilsvrc12_train_lmdb
I0418 11:28:35.877290 26014 convert_imageset.cpp:144] Processed 1000 files.
I0418 11:28:54.244177 26014 convert_imageset.cpp:144] Processed 2000 files.
I0418 11:29:11.003464 26014 convert_imageset.cpp:144] Processed 3000 files.
I0418 11:29:29.868450 26014 convert_imageset.cpp:144] Processed 4000 files.
I0418 11:29:46.167738 26014 convert_imageset.cpp:144] Processed 5000 files.
I0418 11:30:06.394800 26014 convert_imageset.cpp:144] Processed 6000 files.
I0418 11:30:26.031687 26014 convert_imageset.cpp:144] Processed 7000 files.
I0418 11:30:42.605684 26014 convert_imageset.cpp:144] Processed 8000 files.
I0418 11:31:01.183038 26014 convert_imageset.cpp:144] Processed 9000 files.
I0418 11:31:16.569411 26014 convert_imageset.cpp:144] Processed 10000 files.
I0418 11:31:37.495864 26014 convert_imageset.cpp:144] Processed 11000 files.
I0418 11:31:54.109336 26014 convert_imageset.cpp:144] Processed 12000 files.
I0418 11:32:12.916084 26014 convert_imageset.cpp:144] Processed 13000 files.
I0418 11:32:30.222905 26014 convert_imageset.cpp:144] Processed 14000 files.
I0418 11:32:46.301241 26014 convert_imageset.cpp:144] Processed 15000 files.
I0418 11:33:06.893870 26014 convert_imageset.cpp:144] Processed 16000 files.
I0418 11:33:26.089046 26014 convert_imageset.cpp:144] Processed 17000 files.
I0418 11:33:42.112370 26014 convert_imageset.cpp:144] Processed 18000 files.
I0418 11:34:01.750228 26014 convert_imageset.cpp:144] Processed 19000 files.
I0418 11:34:18.868914 26014 convert_imageset.cpp:144] Processed 20000 files.
I0418 11:34:38.900297 26014 convert_imageset.cpp:144] Processed 21000 files.
I0418 11:34:55.392232 26014 convert_imageset.cpp:144] Processed 22000 files.
I0418 11:35:12.312559 26014 convert_imageset.cpp:144] Processed 23000 files.
I0418 11:35:32.080824 26014 convert_imageset.cpp:144] Processed 24000 files.
I0418 11:35:48.097352 26014 convert_imageset.cpp:144] Processed 25000 files.
I0418 11:36:08.874549 26014 convert_imageset.cpp:144] Processed 26000 files.
I0418 11:36:28.773548 26014 convert_imageset.cpp:144] Processed 27000 files.
I0418 11:36:45.506858 26014 convert_imageset.cpp:144] Processed 28000 files.
I0418 11:37:05.370199 26014 convert_imageset.cpp:144] Processed 29000 files.
I0418 11:37:21.896044 26014 convert_imageset.cpp:144] Processed 30000 files.
I0418 11:37:41.538501 26014 convert_imageset.cpp:144] Processed 31000 files.
I0418 11:37:57.608624 26014 convert_imageset.cpp:144] Processed 32000 files.
I0418 11:38:17.372505 26014 convert_imageset.cpp:144] Processed 33000 files.
I0418 11:38:33.391679 26014 convert_imageset.cpp:144] Processed 34000 files.
I0418 11:38:53.127053 26014 convert_imageset.cpp:144] Processed 35000 files.
I0418 11:39:09.912263 26014 convert_imageset.cpp:144] Processed 36000 files.
I0418 11:39:29.597867 26014 convert_imageset.cpp:144] Processed 37000 files.
I0418 11:39:50.264883 26014 convert_imageset.cpp:144] Processed 38000 files.
I0418 11:40:06.638829 26014 convert_imageset.cpp:144] Processed 39000 files.
I0418 11:40:25.655287 26014 convert_imageset.cpp:144] Processed 40000 files.
I0418 11:40:42.922946 26014 convert_imageset.cpp:144] Processed 41000 files.
I0418 11:41:02.071269 26014 convert_imageset.cpp:144] Processed 42000 files.
I0418 11:41:18.793081 26014 convert_imageset.cpp:144] Processed 43000 files.
I0418 11:41:37.447247 26014 convert_imageset.cpp:144] Processed 44000 files.
I0418 11:41:54.267166 26014 convert_imageset.cpp:144] Processed 45000 files.
I0418 11:42:13.410298 26014 convert_imageset.cpp:144] Processed 46000 files.
I0418 11:42:30.215917 26014 convert_imageset.cpp:144] Processed 47000 files.
I0418 11:42:49.702057 26014 convert_imageset.cpp:144] Processed 48000 files.
I0418 11:43:06.742578 26014 convert_imageset.cpp:144] Processed 49000 files.
I0418 11:43:26.791013 26014 convert_imageset.cpp:144] Processed 50000 files.
I0418 11:43:43.142591 26014 convert_imageset.cpp:144] Processed 51000 files.
I0418 11:44:02.534757 26014 convert_imageset.cpp:144] Processed 52000 files.
I0418 11:44:19.128484 26014 convert_imageset.cpp:144] Processed 53000 files.
I0418 11:44:39.370368 26014 convert_imageset.cpp:144] Processed 54000 files.
I0418 11:44:56.206734 26014 convert_imageset.cpp:144] Processed 55000 files.
I0418 11:45:15.287690 26014 convert_imageset.cpp:144] Processed 56000 files.
I0418 11:45:32.078124 26014 convert_imageset.cpp:144] Processed 57000 files.
I0418 11:45:47.563048 26014 convert_imageset.cpp:144] Processed 58000 files.
I0418 11:46:07.897728 26014 convert_imageset.cpp:144] Processed 59000 files.
I0418 11:46:27.437072 26014 convert_imageset.cpp:144] Processed 60000 files.
I0418 11:46:44.265308 26014 convert_imageset.cpp:144] Processed 61000 files.
I0418 11:47:03.713562 26014 convert_imageset.cpp:144] Processed 62000 files.
I0418 11:47:23.498754 26014 convert_imageset.cpp:144] Processed 63000 files.
I0418 11:47:39.180740 26014 convert_imageset.cpp:144] Processed 64000 files.
I0418 11:47:56.880273 26014 convert_imageset.cpp:144] Processed 65000 files.
